InstanceID,h(s)
1,373
2,390
3,364
4,406
5,662
6,373
7,566
8,362
9,452
10,416
11,518
12,383
13,476
14,357
15,528
16,376
17,475
18,389
19,402
20,522
21,478
22,420
23,390
24,357
25,542
26,610
27,389
28,479
29,423
30,677
31,375
32,483
33,354
34,444
35,412
36,394
37,410
38,600
39,420
40,648
41,540
42,442
43,432
44,396
45,425
46,361
47,657
48,412
49,440
50,508
51,729
52,469
53,389
54,370
55,398
56,413
57,412
58,437
59,496
60,387
61,472
62,368
63,362
64,386
65,430
66,370
67,535
68,383
69,455
70,386
71,467
72,450
73,584
74,379
75,438
76,388
77,403
78,370
79,487
80,490
81,441
82,498
83,465
84,453
85,357
86,528
87,433
88,603
89,502
90,435
91,383
92,434
93,573
94,384
95,484
96,413
97,354
98,573
99,449
100,383
