InstanceID,h(s)
1,38
2,54
3,29
4,33
5,23
6,45
7,38
8,38
9,25
10,33
11,43
12,28
13,28
14,39
15,28
16,33
17,34
18,29
19,33
20,49
21,39
22,33
23,43
24,29
25,39
26,34
27,29
28,34
29,33
30,53
31,40
32,28
33,39
34,23
35,38
36,48
37,38
38,30
39,28
40,28
41,23
42,30
43,28
44,30
45,33
46,30
47,35
48,29
49,38
50,70
51,30
52,36
53,29
54,33
55,28
56,34
57,25
58,39
59,39
60,39
61,28
62,29
63,24
64,33
65,23
66,28
67,28
68,34
69,28
70,33
71,28
72,33
73,29
74,28
75,38
76,30
77,33
78,24
79,45
80,34
81,39
82,34
83,33
84,30
85,38
86,51
87,28
88,29
89,34
90,30
91,28
92,23
93,44
94,23
95,29
96,25
97,23
98,28
99,24
100,28
