InstanceID,h(s)
1,41
2,43
3,41
4,42
5,42
6,36
7,30
8,32
9,32
10,43
11,43
12,35
13,36
14,41
15,44
16,24
17,46
18,43
19,36
20,36
21,34
22,41
23,33
24,34
25,32
26,40
27,33
28,36
29,38
30,35
31,38
32,43
33,42
34,36
35,39
36,36
37,40
38,41
39,35
40,36
41,36
42,30
43,48
44,32
45,39
46,35
47,35
48,39
49,33
50,39
51,44
52,38
53,50
54,40
55,29
56,29
57,36
58,37
59,35
60,48
61,31
62,43
63,40
64,31
65,31
66,41
67,28
68,31
69,37
70,30
71,30
72,38
73,37
74,46
75,30
76,41
77,34
78,41
79,28
80,43
81,39
82,40
83,31
84,37
85,32
86,35
87,34
88,43
89,38
90,36
91,41
92,37
93,34
94,45
95,34
96,35
97,32
98,34
99,39
100,38
