InstanceID,h(s)
1,465
2,525
3,397
4,337
5,450
6,474
7,367
8,392
9,458
10,342
11,327
12,442
13,411
14,478
15,433
16,576
17,309
18,379
19,342
20,372
21,384
22,492
23,456
24,497
25,388
26,264
27,324
28,456
29,327
30,457
31,260
32,297
33,391
34,544
35,427
36,371
37,427
38,452
39,434
40,442
41,439
42,333
43,421
44,523
45,277
46,475
47,386
48,472
49,391
50,408
51,303
52,534
53,361
54,414
55,395
56,182
57,402
58,504
59,378
60,315
61,396
62,436
63,466
64,338
65,367
66,290
67,357
68,464
69,323
70,420
71,443
72,363
73,356
74,449
75,422
76,323
77,325
78,505
79,414
80,388
81,501
82,407
83,416
84,601
85,496
86,423
87,392
88,333
89,389
90,553
91,416
92,326
93,310
94,466
95,549
96,470
97,324
98,479
99,425
100,596
